# Source: https://github.com/fvrmatteo/oracle-synthesis-meets-equality-saturation
# License: not specified
# expression	ground_truth
~(x+y+(~(x+y+x+y))+-z)	(x+y+z)
((x&0x457)+0x8ae)	-
(2271486959545805916*((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((~a)&(~b))&c)&(~w))&(~x))&(~y))&(~z))|((((((a&(~b))&c)&(~w))&(~x))&(~y))&(~z)))|(((((((~a)&b)&(~c))&(~w))&x)&(~y))&(~z)))|((((((a&b)&(~c))&(~w))&x)&(~y))&(~z)))|(((((((~a)&b)&c)&(~w))&x)&(~y))&(~z)))|(((((((~a)&(~b))&(~c))&(~w))&(~x))&y)&(~z)))|((((((a&(~b))&(~c))&(~w))&(~x))&y)&(~z)))|(((((((~a)&(~b))&c)&(~w))&(~x))&y)&(~z)))|((((((a&(~b))&c)&(~w))&(~x))&y)&(~z)))|((((((a&b)&c)&(~w))&(~x))&y)&(~z)))|(((((((~a)&b)&(~c))&(~w))&x)&y)&(~z)))|((((((a&b)&(~c))&(~w))&x)&y)&(~z)))|(((((((~a)&b)&c)&(~w))&x)&y)&(~z)))|(((((((~a)&(~b))&(~c))&(~w))&(~x))&(~y))&z))|((((((a&(~b))&(~c))&(~w))&(~x))&(~y))&z))|(((((((~a)&(~b))&c)&(~w))&(~x))&(~y))&z))|((((((a&(~b))&c)&(~w))&(~x))&(~y))&z))|((((((a&b)&c)&(~w))&(~x))&(~y))&z))|(((((((~a)&(~b))&(~c))&(~w))&(~x))&y)&z))|((((((a&(~b))&(~c))&(~w))&(~x))&y)&z))|(((((((~a)&(~b))&c)&(~w))&(~x))&y)&z))|((((((a&(~b))&c)&(~w))&(~x))&y)&z))|((((((a&b)&c)&(~w))&(~x))&y)&z))|(((((((~a)&b)&(~c))&(~w))&x)&y)&z))|((((((a&b)&(~c))&(~w))&x)&y)&z))|(((((((~a)&b)&c)&(~w))&x)&y)&z))|((((((a&(~b))&(~c))&w)&x)&(~y))&(~z)))|((((((a&(~b))&c)&w)&x)&(~y))&(~z)))|((((((a&(~b))&(~c))&w)&x)&y)&(~z)))|((((((a&(~b))&c)&w)&x)&y)&(~z)))|((((((a&(~b))&(~c))&w)&x)&(~y))&z))|((((((a&(~b))&(~c))&w)&x)&y)&z))|((((((a&(~b))&c)&w)&x)&y)&z))|((((((a&b)&c)&w)&x)&(~y))&z))|(((((((~a)&(~b))&(~c))&w)&x)&(~y))&(~z)))|(((((((~a)&(~b))&c)&w)&x)&(~y))&(~z)))|(((((((~a)&(~b))&(~c))&w)&x)&y)&(~z)))|(((((((~a)&(~b))&c)&w)&x)&y)&(~z)))|(((((((~a)&(~b))&(~c))&w)&x)&(~y))&z))|(((((((~a)&(~b))&(~c))&w)&x)&y)&z))|(((((((~a)&(~b))&c)&w)&x)&y)&z))|(((((((~a)&b)&c)&w)&x)&(~y))&z))|(((((((~a)&(~b))&(~c))&(~w))&(~x))&(~y))&(~z)))|((((((a&(~b))&(~c))&(~w))&(~x))&(~y))&(~z)))|(((((((~a)&b)&(~c))&(~w))&(~x))&(~y))&(~z)))|((((((a&b)&(~c))&(~w))&(~x))&(~y))&(~z)))|(((((((~a)&b)&c)&(~w))&(~x))&(~y))&(~z)))|((((((a&b)&c)&(~w))&(~x))&(~y))&(~z)))|((((((a&b)&c)&(~w))&x)&(~y))&(~z)))|(((((((~a)&b)&(~c))&(~w))&(~x))&y)&(~z)))|((((((a&b)&(~c))&(~w))&(~x))&y)&(~z)))|(((((((~a)&b)&c)&(~w))&(~x))&y)&(~z)))|((((((a&b)&c)&(~w))&x)&y)&(~z)))|(((((((~a)&b)&(~c))&(~w))&(~x))&(~y))&z))|((((((a&b)&(~c))&(~w))&(~x))&(~y))&z))|(((((((~a)&b)&c)&(~w))&(~x))&(~y))&z))|(((((((~a)&b)&(~c))&(~w))&x)&(~y))&z))|((((((a&b)&(~c))&(~w))&x)&(~y))&z))|(((((((~a)&(~b))&c)&(~w))&x)&(~y))&z))|((((((a&(~b))&c)&(~w))&x)&(~y))&z))|(((((((~a)&b)&(~c))&(~w))&(~x))&y)&z))|((((((a&b)&(~c))&(~w))&(~x))&y)&z))|(((((((~a)&b)&c)&(~w))&(~x))&y)&z))|((((((a&b)&c)&(~w))&x)&y)&z))) + (4545453343454544*((((((((((((((((((((((((((((((((((((((~a)&(~b))&c)&w)&(~x))&(~y))&(~z))|(((((((~a)&b)&(~c))&w)&x)&(~y))&(~z)))|(((((((~a)&b)&c)&w)&x)&(~y))&(~z)))|(((((((~a)&(~b))&(~c))&w)&(~x))&y)&(~z)))|(((((((~a)&(~b))&c)&w)&(~x))&y)&(~z)))|(((((((~a)&b)&(~c))&w)&x)&y)&(~z)))|(((((((~a)&b)&c)&w)&x)&y)&(~z)))|(((((((~a)&(~b))&(~c))&w)&(~x))&(~y))&z))|(((((((~a)&(~b))&c)&w)&(~x))&(~y))&z))|(((((((~a)&(~b))&(~c))&w)&(~x))&y)&z))|(((((((~a)&(~b))&c)&w)&(~x))&y)&z))|(((((((~a)&b)&(~c))&w)&x)&y)&z))|(((((((~a)&b)&c)&w)&x)&y)&z))|(((((((~a)&(~b))&(~c))&w)&x)&(~y))&(~z)))|(((((((~a)&(~b))&c)&w)&x)&(~y))&(~z)))|(((((((~a)&(~b))&(~c))&w)&x)&y)&(~z)))|(((((((~a)&(~b))&c)&w)&x)&y)&(~z)))|(((((((~a)&(~b))&(~c))&w)&x)&(~y))&z))|(((((((~a)&(~b))&(~c))&w)&x)&y)&z))|(((((((~a)&(~b))&c)&w)&x)&y)&z))|(((((((~a)&b)&c)&w)&x)&(~y))&z))|(((((((~a)&(~b))&(~c))&w)&(~x))&(~y))&(~z)))|(((((((~a)&b)&(~c))&w)&(~x))&(~y))&(~z)))|(((((((~a)&b)&c)&w)&(~x))&(~y))&(~z)))|(((((((~a)&b)&(~c))&w)&(~x))&y)&(~z)))|(((((((~a)&b)&c)&w)&(~x))&y)&(~z)))|(((((((~a)&b)&(~c))&w)&(~x))&(~y))&z))|(((((((~a)&b)&c)&w)&(~x))&(~y))&z))|(((((((~a)&b)&(~c))&w)&x)&(~y))&z))|(((((((~a)&(~b))&c)&w)&x)&(~y))&z))|(((((((~a)&b)&(~c))&w)&(~x))&y)&z))|(((((((~a)&b)&c)&w)&(~x))&y)&z))) + (1056052283472526545*(((((((((((((((((((((((((((((((((((((a&(~b))&c)&w)&(~x))&(~y))&(~z))|((((((a&b)&(~c))&w)&x)&(~y))&(~z)))|((((((a&(~b))&(~c))&w)&(~x))&y)&(~z)))|((((((a&(~b))&c)&w)&(~x))&y)&(~z)))|((((((a&b)&c)&w)&(~x))&y)&(~z)))|((((((a&b)&(~c))&w)&x)&y)&(~z)))|((((((a&(~b))&(~c))&w)&(~x))&(~y))&z))|((((((a&(~b))&c)&w)&(~x))&(~y))&z))|((((((a&b)&c)&w)&(~x))&(~y))&z))|((((((a&(~b))&(~c))&w)&(~x))&y)&z))|((((((a&(~b))&c)&w)&(~x))&y)&z))|((((((a&b)&c)&w)&(~x))&y)&z))|((((((a&b)&(~c))&w)&x)&y)&z))|((((((a&(~b))&(~c))&w)&x)&(~y))&(~z)))|((((((a&(~b))&c)&w)&x)&(~y))&(~z)))|((((((a&(~b))&(~c))&w)&x)&y)&(~z)))|((((((a&(~b))&c)&w)&x)&y)&(~z)))|((((((a&(~b))&(~c))&w)&x)&(~y))&z))|((((((a&(~b))&(~c))&w)&x)&y)&z))|((((((a&(~b))&c)&w)&x)&y)&z))|((((((a&b)&c)&w)&x)&(~y))&z))|((((((a&(~b))&(~c))&w)&(~x))&(~y))&(~z)))|((((((a&b)&(~c))&w)&(~x))&(~y))&(~z)))|((((((a&b)&c)&w)&(~x))&(~y))&(~z)))|((((((a&b)&c)&w)&x)&(~y))&(~z)))|((((((a&b)&(~c))&w)&(~x))&y)&(~z)))|((((((a&b)&c)&w)&x)&y)&(~z)))|((((((a&b)&(~c))&w)&(~x))&(~y))&z))|((((((a&b)&(~c))&w)&x)&(~y))&z))|((((((a&(~b))&c)&w)&x)&(~y))&z))|((((((a&b)&(~c))&w)&(~x))&y)&z))|((((((a&b)&c)&w)&x)&y)&z))) + (0*((((((((((((((((((((~a)&(~b))&(~c))&(~w))&x)&(~y))&(~z))|((((((a&(~b))&(~c))&(~w))&x)&(~y))&(~z)))|(((((((~a)&(~b))&c)&(~w))&x)&(~y))&(~z)))|((((((a&(~b))&c)&(~w))&x)&(~y))&(~z)))|(((((((~a)&(~b))&(~c))&(~w))&x)&y)&(~z)))|((((((a&(~b))&(~c))&(~w))&x)&y)&(~z)))|(((((((~a)&(~b))&c)&(~w))&x)&y)&(~z)))|((((((a&(~b))&c)&(~w))&x)&y)&(~z)))|(((((((~a)&(~b))&(~c))&(~w))&x)&(~y))&z))|((((((a&(~b))&(~c))&(~w))&x)&(~y))&z))|(((((((~a)&(~b))&(~c))&(~w))&x)&y)&z))|((((((a&(~b))&(~c))&(~w))&x)&y)&z))|(((((((~a)&(~b))&c)&(~w))&x)&y)&z))|((((((a&(~b))&c)&(~w))&x)&y)&z))) + (4545453343454543*((((((((((((((((((((((((((((((((((((((((((((((((((((((~a)&b)&c)&(~w))&x)&(~y))&z)|((((((a&b)&c)&(~w))&x)&(~y))&z))|((((((a&b)&c)&w)&x)&(~y))&z))|(((((((~a)&b)&c)&w)&x)&(~y))&z))|(((((((~a)&(~b))&(~c))&(~w))&(~x))&(~y))&(~z)))|((((((a&(~b))&(~c))&(~w))&(~x))&(~y))&(~z)))|(((((((~a)&b)&(~c))&(~w))&(~x))&(~y))&(~z)))|((((((a&b)&(~c))&(~w))&(~x))&(~y))&(~z)))|(((((((~a)&b)&c)&(~w))&(~x))&(~y))&(~z)))|((((((a&b)&c)&(~w))&(~x))&(~y))&(~z)))|((((((a&b)&c)&(~w))&x)&(~y))&(~z)))|(((((((~a)&b)&(~c))&(~w))&(~x))&y)&(~z)))|((((((a&b)&(~c))&(~w))&(~x))&y)&(~z)))|(((((((~a)&b)&c)&(~w))&(~x))&y)&(~z)))|((((((a&b)&c)&(~w))&x)&y)&(~z)))|(((((((~a)&b)&(~c))&(~w))&(~x))&(~y))&z))|((((((a&b)&(~c))&(~w))&(~x))&(~y))&z))|(((((((~a)&b)&c)&(~w))&(~x))&(~y))&z))|(((((((~a)&b)&(~c))&(~w))&x)&(~y))&z))|((((((a&b)&(~c))&(~w))&x)&(~y))&z))|(((((((~a)&(~b))&c)&(~w))&x)&(~y))&z))|((((((a&(~b))&c)&(~w))&x)&(~y))&z))|(((((((~a)&b)&(~c))&(~w))&(~x))&y)&z))|((((((a&b)&(~c))&(~w))&(~x))&y)&z))|(((((((~a)&b)&c)&(~w))&(~x))&y)&z))|((((((a&b)&c)&(~w))&x)&y)&z))|((((((a&(~b))&(~c))&w)&(~x))&(~y))&(~z)))|((((((a&b)&(~c))&w)&(~x))&(~y))&(~z)))|((((((a&b)&c)&w)&(~x))&(~y))&(~z)))|((((((a&b)&c)&w)&x)&(~y))&(~z)))|((((((a&b)&(~c))&w)&(~x))&y)&(~z)))|((((((a&b)&c)&w)&x)&y)&(~z)))|((((((a&b)&(~c))&w)&(~x))&(~y))&z))|((((((a&b)&(~c))&w)&x)&(~y))&z))|((((((a&(~b))&c)&w)&x)&(~y))&z))|((((((a&b)&(~c))&w)&(~x))&y)&z))|((((((a&b)&c)&w)&x)&y)&z))|(((((((~a)&(~b))&(~c))&w)&(~x))&(~y))&(~z)))|(((((((~a)&b)&(~c))&w)&(~x))&(~y))&(~z)))|(((((((~a)&b)&c)&w)&(~x))&(~y))&(~z)))|(((((((~a)&b)&(~c))&w)&(~x))&y)&(~z)))|(((((((~a)&b)&c)&w)&(~x))&y)&(~z)))|(((((((~a)&b)&(~c))&w)&(~x))&(~y))&z))|(((((((~a)&b)&c)&w)&(~x))&(~y))&z))|(((((((~a)&b)&(~c))&w)&x)&(~y))&z))|(((((((~a)&(~b))&c)&w)&x)&(~y))&z))|(((((((~a)&b)&(~c))&w)&(~x))&y)&z))|(((((((~a)&b)&c)&w)&(~x))&y)&z)))	-
original = (((w&(~((~x)|((~y)|z))))+(w&(~(~((~x)|((~y)|z))))))+((4545453343454543*(((((((~x)^((b&c)&a))|(~(y|(x^z))))&(b|((~(y|(x^z)))&((~x)^c))))+w)+((a&w)*43589034543))+(((((~x)|(b^((~(y|(x^z)))&c)))^w)*23432324234)*23423434)))))	-
-549755810554+(549755813887&(549755812776|x))	-
-549755810555-(-549755812777&~(1111&x))	-
((((((-5599026202564138376*(~(x|(y|((234553563456|b)|(545464566+(~(545464566|c))))))))+(13630713475717973*(~(x|(y|(c|(-234553366785+(~(b|-234553366785)))))))))+(((~(x|(y|((234553563456+(~(234553563456|b)))|(545464566+(~(545464566|c)))))))*13630713475717973)+((~(x|(y|((b|-234553563457)|(545464566+(~(545464566|c)))))))*-2271492606100451572)))+(((((~(x|(y|(c|(-545267895|b)))))*-5599026202564138376)+((~(x|(y|((~((b|-234553563457)+234553563457))|(545464566+(~(545464566|c)))))))*9085260132263430))+((-1046961376785617458*(~(x|(y|((234553563456+(~(234553563456|b)))|(c|-545464567))))))+(1219980129416733915*(~(x|(y|(c|(-196673|b))))))))+(((~(x|(y|((-545464567+(~(c|-545464567)))|(234553563456|b)))))*1219980129416733915)+(((3496012542305994374*(~((x|(y|-545464567))|(c|(~((b|-234553563457)+234553563457))))))+((1224525582760188458*(~(x|((y|(-545464567+(~(c|-545464567))))|(234553563456+(~(234553563456|b)))))))+((~(y|(x|(-545464567|(b|(-234553563457+(~(c|-234553563457))))))))*-3327539243018332460)))+(((((((~(y|((545464566+(~(545464566|x)))|(b|(-234553563457+(~(c|-234553563457)))))))*1215434676073279372)+((((~(y|((~((b|-234553563457)+234553563457))|(545464566+(~(545464566|c))))))&x)*-1056052283472526544)+(((~(y|((234553563456+(~(234553563456|b)))|(545464566+(~(545464566|c))))))&x)*-1051506830129072001)))+((((-1046961376785617458*((~((y|(-545464567+(~(x|-545464567))))|(c|(~((b|-234553563457)+234553563457)))))+(~(y|((-545464567+(~(x|-545464567)))|(c|(234553563456+(~(234553563456|b)))))))))+(((((((((y&(~((x|(545464566+(~(545464566|c))))|(234553563456+(~(234553563456|b))))))*-1210894869284470485)+((((y&(~(x|((~((b|-234553563457)+234553563457))|(545464566+(~(545464566|c)))))))*1056046636917880888)+(-4545453343454543*(~(x|((-545464567+(~(y|-545464567)))|(c|(b|-234553563457)))))))+(((-2271486959545805916*(~(x|(((-545464567+(~(y|-545464567)))|c)|(234553563456+(~(234553563456|b)))))))+((-4545453343454543*(y&(~(x|((-545464567+(~(c|-545464567)))|(234553563456|b))))))+((~(x|((-545464567+(~(y|-545464567)))|(c|(~((b|-234553563457)+234553563457))))))*4538428465748157289)))+((((((1060592090261335431*(y&(~((545464566+(~(545464566|x)))|(c|(b|-234553563457))))))+((y&(~((545464566+(~(545464566|x)))|(c|(234553563456|b)))))*4547519372435066375))+(((y&(c&(~(545464566|(b|(234553563456+(~(234553563456|x))))))))*3336624503150595890)+(-2271486959545805916*(~(545464566|(c|(~((234553563456|y)+-234553563456))))))))+(((((y&(~((-545464567+(~(x|-545464567)))|(c|(234553563456+(~(234553563456|b)))))))*-2271486959545805916)+((4545453343454543*((~(c|((-234553563457+(~(y|-234553563457)))|((b&((~(545464566|x))|((x|-545464567)+545464567)))|(~(b|((~(545464566|x))|((x|-545464567)+545464567))))))))+(x&(y&(~((-545464567+(~(c|-545464567)))|(234553563456|b)))))))+(((545464566|((~(b|((~(-234553563457|(~(545464566|c))))|(~(c|235098831350)))))^x))*1060592090261335431)+((((~(b&((~(234553563456|b))|(~(-234553563457|(~(b|(~(-234553563457+(~(x|-234553563457)))))))))))&y)*2271486959545805916)+(2276032412889260459+(2276032412889260459*((b&x)|(~(b|x)))))))))+((2271486959545805916*(y&(~(-545464567|((b|(234553563456+(~(234553563456|x))))|c)))))+(((~(y|((545464566|x)+-545464566)))|(y&((545464566|x)+-545464566)))*-4545453343454543)))+(((y&(x&(~((234553563456+(~(234553563456|b)))|(545464566+(~(545464566|c)))))))*-2266941506202351373)+(4545453343454543*(~(b|-234553366785))))))+(((~(x*4542973919091611832))+-4542973919091611831)+((~(x|((~(-234553563457|(-545464567+(~(c|-545464567)))))|(~(((c|-545464567)+545464567)|196672)))))*-4542973919091611832)))+((~(x|((-545464567+(~(y|-545464567)))|(b|(-234553563457+(~(c|-234553563457)))))))*-4552064825778520918)))))+((~(x|((-545464567+(~(y|-545464567)))|(c|(234553563456|b)))))*-6823551785324326834))+((~(x|((b|(-234553563457+(~(c|-234553563457))))|(545464566+(~(545464566|y))))))*-3496018188860640030))+((-6823551785324326834*(y&(~(x|((234553563456|b)|(545464566+(~(545464566|c))))))))+(1060592090261335431*(~(x|((c|(545464566+(~(545464566|y))))|(~((b|-234553563457)+234553563457))))))))+((1056046636917880888*(~(x|((c|(545464566+(~(545464566|y))))|(234553563456+(~(234553563456|b)))))))+((~(x|((c|(b|-234553563457))|(545464566+(~(545464566|y))))))*-4561155732465430004)))+(((~(x|((c|(545464566+(~(545464566|y))))|(234553563456|b))))*-3491472735517185487)+((~(y|((-545464567+(~(x|-545464567)))|(~(c&((b|-234553563457)+234553563457))))))*-1046961376785617458)))+(1224525582760188458*((~(y|((-545464567+(~(x|-545464567)))|(b|(-234553563457+(~(c|-234553563457)))))))+((~((y|(-545464567+(~(c|-545464567))))|(234553563456+(~(234553563456|b)))))&x)))))+(((~(y|((-545464567+(~(c|-545464567)))|(234553563456|b))))&x)*1229071036103643001))+((1229071036103643001*(~((y|(-545464567+(~(x|-545464567))))|(c|(b|-234553563457)))))+((~(y|(-545464567|((b|(234553563456+(~(234553563456|x))))|c))))*3496012542305994374))))+((((~(y|((234553563456|b)|(545464566+(~(545464566|c))))))&x)*4552059179223875262)+(-1051506830129072001*(~(y|((545464566+(~(545464566|x)))|(c|(~((b|-234553563457)+234553563457)))))))))+((-1056052283472526544*(~(y|(((545464566+(~(545464566|x)))|c)|(234553563456+(~(234553563456|b)))))))+((~(y|((545464566+(~(545464566|x)))|(c|(b|-234553563457)))))*2276026766334614803)))+(((~(y|((545464566+(~(545464566|x)))|(c|(234553563456|b)))))*3491467088962539831)+(-1046961376785617458*(~(x|(y|((-545464567+(~(c|-545464567)))|(~((b|-234553563457)+234553563457)))))))))))))+((9085260132263430*(~(x|((y|(545464566|c))|(234553563456+(~(234553563456|b)))))))+((~(x|(y|(c|(b|-234553366785)))))*-3332084696361787003)))+((~(x|(y|(c|(b|235098831350)))))*-4538434112302802945))	-
13282058976527625048 + (2271486959545805916*(4611685783873824447&b)) + (4545453343454543*(235098634678&b)) + (2276032412889260459*(545267894&c)) + (-4545453343454543*(196672&c)) + (2276032412889260459*(-234553563457&x)) + (38901503011342579*(234553563456&x)) + (1051506830129072001*y) + (4545453343454543*(-235098634679&(b&c))) + (-4547519372435066375*(545267894&(b&c))) + (-4545453343454543*(234553366784&(b&c))) + (-4542973919091611832*(4611685783873824447&(b&x))) + (-4542973919091611832*(545267894&(c&x))) + (-137424198671552144*(545267894&((b&c)&x)))	-
(((((((x^(0x208020b6&c))*0x1f85f15ad7a8ec5c)+(x*0xc104435b248f5c97))+((x&(~(0x369c7b5940|b)))*0x3f0be2b5af51d8b8))+(((0xffffffc96384a6bf&b)*0x1f85f15ad7a8ec5c)+(y*0xe97b3e410bd8781)))+((((((c&b)&0x208020b6)&x)*0x7e17c56b5ea3b170)+(((c&0x36bcf879b6)|(b&(0x36bcf879b6|c)))*0x102610d3e1354f))+(0xb8535a448db7ab58+((c&0x369c7b5940)*0xffefd9ef2c1ecab1))))+(((c&b)&0x208020b6)*0xc0f41d4a50ae2748))	-
(((2271486959545805916*((x^(c&545267894))+((b&-234553563457)+((c&(b&(x&545267894)))*4))))+(((c&234553563456)*-4545453343454543)+(-4542973919091611832*((b&(c&545267894))+(b|(~(x&-234553563457)))))))+((((c&235098634678)|(b&(c|235098634678)))*4545453343454543)+(8739085057436013216+((y*1051506830129072001)+(x*-4538428465748157289)))))	-
(-22 + (((6 * ((1 + (x & (~y))) ^ (4 + (5 * (x ^ y))))) + (-12 * ((1 + (x & (~y))) & (5 * (~(x ^ y)))))) + (((-28 * x) + (-34 * y)) + (63 * (x & y)))))	-
-5164685097181926568 + (2271486959545805916*(4611685783873824447&b)) + (4545453343454543*(235098634678&b)) + (2276032412889260459*(545267894&c)) + (-4545453343454543*(196672&c)) + (38901503011342579*x) + (2237130909877917880*(-234553563457&x)) + (1051506830129072001*y) + (4545453343454543*(b&c)) + (4671307211076254890*(545267894&(b&c))) + (62966687351018850*(234553366784&(b&c))) + (-4542973919091611832*(4611685783873824447&(b&x))) + (-4542973919091611832*(545267894&(c&x))) + (-137424198671552144*(545267894&((b&c)&x)))	-
((((a & -1473588675)  ^ ((a & 1403062947)  & (a ^ 310379138) ) )  ^ (((((((a & -1403062948)  ^ -1403062948)  & -1543051960)  | (a & 139989012) )  ^ -1836403002)  & (((((a & -1403062948)  ^ -1403062948)  & -1543051960)  | (a & 139989012) )  ^ -139989013) )  | (((a & -1403062948)  ^ -1403062948)  & (a ^ 604786956) ) ) )  ^ -1943633103)	-
(x&~y)*(x&~y)*(x&~y)+((x&y)*(x&y)+3*x*(x&~y))*(x&y)	-
1371330631*(x & y)**3 + 4113991893*(x & y)**2*(x & ~y) + 4113991893*(x & y)*(x & ~y)**2 + 1371330631*(x & ~y)**3	-
((x+y)|((1+((x+y)&(~x)))&((~x)+(~y))))	-
